start_read_date,end_read_date,total_consumption,time_of_peak_demand,total_cost
2013-04-05 00:00:00,2013-05-06 00:00:00,336786.60012210824,13:13:00,59485.833176244174
2013-05-06 00:00:00,2013-06-05 00:00:00,318005.86926603655,14:50:00,51180.78935052424
2013-06-05 00:00:00,2013-07-07 00:00:00,402393.52484611695,14:20:00,65616.36016990582
2013-07-07 00:00:00,2013-08-05 00:00:00,363047.3967288604,11:44:00,64522.39508006841
2013-08-05 00:00:00,2013-09-03 00:00:00,358810.8541625051,12:12:00,43332.14903249225
2013-09-03 00:00:00,2013-10-03 00:00:00,441445.02890412195,14:35:00,57594.14648641042
2013-10-03 00:00:00,2013-11-04 00:00:00,395707.9220602694,13:50:00,35046.72120374068
2013-11-04 00:00:00,2013-12-05 00:00:00,285225.6747949202,10:33:00,40164.58187746985
2013-12-05 00:00:00,2014-01-06 00:00:00,287767.75460586033,15:55:00,46304.327098843016
2014-01-06 00:00:00,2014-02-04 00:00:00,238868.63130021264,14:50:00,63663.68173052891
2014-02-04 00:00:00,2014-03-06 00:00:00,321771.8401981973,15:28:00,64863.93921289255
2014-03-06 00:00:00,2014-04-06 00:00:00,231786.2075663163,13:04:00,56386.59363008299
2014-04-06 00:00:00,2014-05-06 00:00:00,313794.41104333615,15:45:00,48427.30580667734
2014-05-06 00:00:00,2014-06-05 00:00:00,291411.00932028063,14:56:00,45519.519664039704
2014-06-05 00:00:00,2014-07-07 00:00:00,402234.6825977617,14:54:00,56909.80806528104
2014-07-07 00:00:00,2014-08-05 00:00:00,410048.7661714812,12:44:00,57851.42005651493
2014-08-05 00:00:00,2014-09-04 00:00:00,379863.92210294184,12:33:00,56464.22136917831
2014-09-04 00:00:00,2014-10-05 00:00:00,349062.6027555704,13:08:00,54845.0370886423
2014-10-05 00:00:00,2014-11-04 00:00:00,296352.60296045843,14:03:00,41170.68858214263
2014-11-04 00:00:00,2014-12-04 00:00:00,221065.1468099441,12:49:00,36430.487140162935
2014-12-04 00:00:00,2015-01-06 00:00:00,238911.2772831272,12:51:00,44643.16638166008
2015-01-06 00:00:00,2015-02-04 00:00:00,233224.5753629833,13:16:00,40171.094653177635
2015-02-04 00:00:00,2015-03-05 00:00:00,262550.4305834075,10:43:00,50692.324003579706
2015-03-05 00:00:00,2015-04-05 00:00:00,242244.5473464304,14:27:00,36141.92217607037
2015-04-05 00:00:00,2015-05-05 00:00:00,272461.44572871877,16:14:00,36142.036091036316
2015-05-05 00:00:00,2015-06-04 00:00:00,298985.5463938306,11:11:00,48016.865811830015
2015-06-04 00:00:00,2015-07-06 00:00:00,409337.5711065333,10:31:00,50272.38206127331
2015-07-06 00:00:00,2015-08-03 00:00:00,467721.62627089,10:06:00,58716.66207212491
2015-08-03 00:00:00,2015-09-02 00:00:00,503607.33503309113,14:58:00,60424.06965383517
2015-09-02 00:00:00,2015-10-04 00:00:00,485470.02028991474,15:42:00,70463.75414867177
2015-10-04 00:00:00,2015-11-03 00:00:00,426032.36304162885,14:51:00,58518.244627293534
2015-11-03 00:00:00,2015-12-06 00:00:00,337914.417439596,14:49:00,46618.22895124337
2015-12-06 00:00:00,2016-01-06 00:00:00,297742.2579309803,14:16:00,38438.28921851749
2016-01-06 00:00:00,2016-02-04 00:00:00,222985.805200802,13:41:00,47007.34032026168
2016-02-04 00:00:00,2016-03-06 00:00:00,427229.66678149527,12:54:00,52110.54662344992
2016-03-06 00:00:00,2016-04-04 00:00:00,331521.5836199455,12:16:00,49856.215720701824
2016-04-04 00:00:00,2016-05-04 00:00:00,362630.91789703234,18:33:00,45545.13484719621
2016-05-04 00:00:00,2015-06-05 00:00:00,541012.5468387144,11:51:00,64049.43890003707
2016-06-05 00:00:00,2016-07-05 00:00:00,422045.6696977399,11:07:00,67345.01075252755
2016-07-05 00:00:00,2016-08-03 00:00:00,493605.8669671939,11:46:00,82046.8250402295
2016-08-03 00:00:00,2016-09-05 00:00:00,560724.0772637526,14:19:00,90879.84457985155
2016-09-05 00:00:00,2016-10-04 00:00:00,484967.22360404243,10:10:00,63047.503612544366
2016-10-04 00:00:00,2016-11-01 00:00:00,340584.5766757614,12:44:00,61158.49097980689
